Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Ankorstore Casing (product.metafields.asc.casing),Ankorstore VAT (product.metafields.asc.vat),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Ingrédient actif (product.metafields.shopify.active-ingredient),Tranche d’âge (product.metafields.shopify.age-group),Zone du corps (product.metafields.shopify.body-area),Couleur (product.metafields.shopify.color-pattern),Effet conditionneur (product.metafields.shopify.conditioner-effect),Ingrédients constitutifs (product.metafields.shopify.constitutive-ingredients),Fonction cosmétique (product.metafields.shopify.cosmetic-function),Tissu (product.metafields.shopify.fabric),Finition soin des cheveux (product.metafields.shopify.hair-care-finish),Articles de soins capillaires inclus (product.metafields.shopify.hair-care-items-included),Type de perte de cheveux (product.metafields.shopify.hair-loss-type),Type de cheveux (product.metafields.shopify.hair-type),Niveau de maintien (product.metafields.shopify.hold-level),Matériel (product.metafields.shopify.material),Type de crème hydratante (product.metafields.shopify.moisturizer-type),Type d’emballage (product.metafields.shopify.package-type),Certifications et normes de produits (product.metafields.shopify.product-certifications-standards),Forme du produit (product.metafields.shopify.product-form),Effet soin de la peau (product.metafields.shopify.skin-care-effect),Caractéristiques des soins de la peau (product.metafields.shopify.skin-care-features),Convient au type de cheveux (product.metafields.shopify.suitable-for-hair-type),Convient au type de peau (product.metafields.shopify.suitable-for-skin-type),Sexe cible (product.metafields.shopify.target-gender),Objectif du traitement (product.metafields.shopify.treatment-objective),Type de traitement (product.metafields.shopify.treatment-type),Type d’utilisation (product.metafields.shopify.usage-type),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
naba-collections-lace-straight-26,,,,,,,,,27,,,,,,,,NCW007,0.0,,0,deny,manual,34.45,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,
naba-collections-lace-straight-26,,,,,,,,,T4/27,,,,,,,,NCW008,0.0,,0,deny,manual,34.45,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,
naba-collections-lace-straight-26,,,,,,,,,T1B/30,,,,,,,,NCW009,0.0,,0,deny,manual,34.45,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,
naba-collections-lace-kinky-24,"Naba Collections - LACE KINKY 24""","<p>La <strong data-start=""2389"" data-end=""2412"">Naba Lace Kinky 24""</strong> reproduit parfaitement la texture afro naturelle. Idéale pour une clientèle recherchant volume, naturel et style texturé tendance.<br><br><strong data-start=""1032"" data-end=""1058"">Couleurs disponibles :</strong> 1, 1B, 2, 4, 30, 33, 27, T4/27, T1B/30<br></p>",Naba Collection,Apparel & Accessories > Clothing Accessories > Hair Accessories > Wigs,ACCESSOIRES,Perruque,true,Color,1,,,,,,,,NCW010,0.0,,0,deny,manual,25.90,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0864/3087/5985/files/NabaCollections-LACEKINKY24.png?v=1767281656,1,"Naba Collections - LACE KINKY 24""",false,"Naba Collections - LACE KINKY 24"" – Perruque | ABS France Wholesale","Perruque lace kinky texture afro naturelle, forte demande clientèle. Idéale pour salons et revendeurs chez ABS France Wholesale.",181,,adult,,,,,,,,,,,,,adultes,,black; bronze; brown-1; brown; noir; beige,,,,,,,,curly; wavy,,,,,,,,,,,feminin,,,,,g,,,active
naba-collections-lace-kinky-24,,,,,,,,,1B,,,,,,,,NCW011,0.0,,0,deny,manual,25.90,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,
naba-collections-lace-kinky-24,,,,,,,,,2,,,,,,,,NCW012,0.0,,0,deny,manual,25.90,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,
naba-collections-lace-kinky-24,,,,,,,,,4,,,,,,,,NCW013,0.0,,0,deny,manual,25.90,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,
naba-collections-lace-kinky-24,,,,,,,,,30,,,,,,,,NCW014,0.0,,0,deny,manual,25.90,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,
naba-collections-lace-kinky-24,,,,,,,,,33,,,,,,,,NCW015,0.0,,0,deny,manual,25.90,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,
naba-collections-lace-kinky-24,,,,,,,,,27,,,,,,,,NCW016,0.0,,0,deny,manual,25.90,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,
naba-collections-lace-kinky-24,,,,,,,,,T4/27,,,,,,,,NCW017,0.0,,0,deny,manual,25.90,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,
naba-collections-lace-kinky-24,,,,,,,,,T1B/30,,,,,,,,NCW018,0.0,,0,deny,manual,25.90,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,
naba-collections-lace-body-wave-17,"Naba Collections - LACE BODY WAVE 17""","<p>La <strong data-start=""3550"" data-end=""3572"">Lace Body Wave 17""</strong> propose des ondulations souples et naturelles, très demandées en boutique. Facile à vendre et à coiffer.<br><br><strong data-start=""1032"" data-end=""1058"">Couleurs disponibles :</strong> 1, 1B, 2, 4, 30, 33, 27, T4/27, T1B/30</p>",Naba Collection,Apparel & Accessories > Clothing Accessories > Hair Accessories > Wigs,ACCESSOIRES,Perruque,true,Color,1,,,,,,,,NCW0019,0.0,,0,deny,manual,28.90,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0864/3087/5985/files/NabaCollections-LACEBODYWAVE17.png?v=1767282356,1,"Naba Collections - LACE WIG BODY WAVE 17""",false,"Naba Collections - LACE BODY WAVE 17"" - Perruque |ABS France Wholesale","Perruque lace ondulée Body Wave, longueur polyvalente et rendu naturel. Produit à forte rotation B2B.",181,,adult,,,,,,,,,,,,,adultes,,black; bronze; brown-1; brown; beige; noir,,,,,,,,wavy,,,,,,,,,,,feminin,,,,,g,,,active
naba-collections-lace-body-wave-17,,,,,,,,,1B,,,,,,,,NCW0020,0.0,,0,deny,manual,28.90,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,
naba-collections-lace-body-wave-17,,,,,,,,,2,,,,,,,,NCW0021,0.0,,0,deny,manual,28.90,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,
naba-collections-lace-body-wave-17,,,,,,,,,4,,,,,,,,NCW0022,0.0,,0,deny,manual,28.90,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,
naba-collections-lace-body-wave-17,,,,,,,,,30,,,,,,,,NCW0023,0.0,,0,deny,manual,28.90,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,
naba-collections-lace-body-wave-17,,,,,,,,,33,,,,,,,,NCW0024,0.0,,0,deny,manual,28.90,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,
naba-collections-lace-body-wave-17,,,,,,,,,27,,,,,,,,NCW0025,0.0,,0,deny,manual,28.90,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,
naba-collections-lace-body-wave-17,,,,,,,,,T4/27,,,,,,,,NCW0026,0.0,,0,deny,manual,28.90,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,
naba-collections-lace-body-wave-17,,,,,,,,,T1B/30,,,,,,,,NCW0027,0.0,,0,deny,manual,28.90,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,
naba-collections-katie-short,Naba Collections - KATIE SHORT,"<p>La <strong data-start=""4613"" data-end=""4633"">Naba Katie Short</strong> est une coupe courte moderne, facile à entretenir et très populaire en point de vente.<br><br><strong data-start=""1032"" data-end=""1058"">Couleurs disponibles :</strong> 1, 1B, 2, 4, 30, 33, 27, T4/27, T1B/30</p>",Naba Collection,Apparel & Accessories > Clothing Accessories > Hair Accessories > Wigs,ACCESSOIRES,Perruque,true,Color,1,,,,,,,,NCW0028,0.0,,0,deny,manual,23.90,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0864/3087/5985/files/NabaCollections-KATIESHORT.png?v=1767282734,1,Naba Collections - KATIE SHORT WIG,false,Naba Collections - KATIE SHORT - Perruque Courte |ABS France Wholesale,"Perruque courte tendance, facile à porter et à vendre. Idéale pour salons et revendeurs.",181,,adult,,,,,,,,,,,,,adultes,,black; bronze; brown-1; beige; brown; noir; multicolor,,,,,,,,wavy,,,,,,,,,,,feminin,,,,,g,,,active
naba-collections-katie-short,,,,,,,,,1B,,,,,,,,NCW0029,0.0,,0,deny,manual,23.90,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,
naba-collections-katie-short,,,,,,,,,2,,,,,,,,NCW0030,0.0,,0,deny,manual,23.90,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,
naba-collections-katie-short,,,,,,,,,4,,,,,,,,NCW0031,0.0,,0,deny,manual,23.90,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,
naba-collections-katie-short,,,,,,,,,30,,,,,,,,NCW0032,0.0,,0,deny,manual,23.90,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,
naba-collections-katie-short,,,,,,,,,33,,,,,,,,NCW0033,0.0,,0,deny,manual,23.90,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,
naba-collections-katie-short,,,,,,,,,27,,,,,,,,NCW0034,0.0,,0,deny,manual,23.90,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,
naba-collections-katie-short,,,,,,,,,T4/27,,,,,,,,NCW0035,0.0,,0,deny,manual,23.90,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,
naba-collections-katie-short,,,,,,,,,T1B/30,,,,,,,,NCW0036,0.0,,0,deny,manual,23.90,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,
naba-collections-nora-lace-wig,Naba Collections - NORA  LACE WIG,"<p>La <strong data-start=""5555"" data-end=""5572"">Nora Lace Wig</strong> est un modèle polyvalent, naturel et facile à proposer à une large clientèle.<br><br><strong data-start=""1032"" data-end=""1058"">Couleurs disponibles :</strong> 1, 1B, 2, 4, 30, 33, 27, T4/27, T1B/30</p>",Naba Collection,Apparel & Accessories > Clothing Accessories > Hair Accessories > Wigs,ACCESSOIRES,Perruque,true,Color,1,,,,,,,,NCW0037,0.0,,0,deny,manual,23.90,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0864/3087/5985/files/NabaCollections-NORALACEWIG.png?v=1767283155,1,Naba Collections - NORA  LACE WIG,false,Naba Collections - NORA  LACE WIG - Perruque | ABS France Wholesale,"Perruque lace polyvalente à forte demande, idéale pour boutiques et salons.",181,,adult,,,,,,,,,,,,,adultes,,black; bronze; brown-1; brown; beige; noir,,,,,,,,curly,,,,,,,,,,,feminin,,,,,g,,,active
naba-collections-nora-lace-wig,,,,,,,,,1B,,,,,,,,NCW0038,0.0,,0,deny,manual,23.90,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,
naba-collections-nora-lace-wig,,,,,,,,,2,,,,,,,,NCW0039,0.0,,0,deny,manual,23.90,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,
naba-collections-nora-lace-wig,,,,,,,,,4,,,,,,,,NCW0040,0.0,,0,deny,manual,23.90,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,
naba-collections-nora-lace-wig,,,,,,,,,30,,,,,,,,NCW0041,0.0,,0,deny,manual,23.90,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,
naba-collections-nora-lace-wig,,,,,,,,,33,,,,,,,,NCW0042,0.0,,0,deny,manual,23.90,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,
naba-collections-nora-lace-wig,,,,,,,,,27,,,,,,,,NCW0043,0.0,,0,deny,manual,23.90,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,
naba-collections-nora-lace-wig,,,,,,,,,T4/27,,,,,,,,NCW0044,0.0,,0,deny,manual,23.90,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,
naba-collections-nora-lace-wig,,,,,,,,,T1B/30,,,,,,,,NCW0045,0.0,,0,deny,manual,23.90,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,
